职位,薪资,城市,区域,区域具体,经验要求,学历要求,福利,技能,salary_min,salary_max,salary_multiplier,salary_avg,experience_years_min,experience_years_max,education_level,education_name,job_category,benefits_list,skills_list,benefits_count,skills_count,is_ai_related,is_python_related,is_remote_work
财信基金桌面运维工程师,5-8K,长沙,芙蓉区,浏城桥,1-3年,本科,"['意外险', '绩效奖金', '补充医疗保险', '五险一金', '带薪年假', '保底工资', '企业年金', '底薪加提成', '加班补助', '生日福利', '员工旅游', '年终奖', '节日福利', '免费工装', '定期体检']",[],5.0,8.0,1.0,6.5,1,3,5,本科,运维工程师,"['意外险', '绩效奖金', '补充医疗保险', '五险一金', '带薪年假', '保底工资', '企业年金', '底薪加提成', '加班补助', '生日福利', '员工旅游', '年终奖', '节日福利', '免费工装', '定期体检']",[],15,0,0,0,0
影视特效师,8-13K,长沙,芙蓉区,火车站,1-3年,学历不限,"['五险一金', '加班补助', '全勤奖', '年终奖']","['Houdini', '动漫动画', 'MAYA', '短视频', '3DMax']",8.0,13.0,1.0,10.5,1,3,1,学历不限,其他,"['五险一金', '加班补助', '全勤奖', '年终奖']","['Houdini', '动漫动画', 'MAYA', '短视频', '3DMax']",4,5,0,0,0
大模型应用开发工程师,10-15K·14薪,长沙,,,1-3年,本科,"['股票期权', '生日福利', '零食下午茶', '绩效奖金', '带薪年假', '定期体检', '五险一金', '节日福利', '年终奖', '员工旅游']","['C/C++', 'Java', '机器学习', '规控算法', '深度学习', '大模型算法', '大数据处理框架(Spark/Hadoop/Hive)', '强化学习', 'SLAM算法', 'Python']",10.0,15.0,1.1666666666666667,14.583333333333334,1,3,5,本科,开发工程师,"['股票期权', '生日福利', '零食下午茶', '绩效奖金', '带薪年假', '定期体检', '五险一金', '节日福利', '年终奖', '员工旅游']","['C/C++', 'Java', '机器学习', '规控算法', '深度学习', '大模型算法', '大数据处理框架(Spark/Hadoop/Hive)', '强化学习', 'SLAM算法', 'Python']",10,10,1,1,0
数据分析师 18-25K/月,18-25K·13薪,长沙,芙蓉区,五一广场,3-5年,本科,"['加班补助', '五险一金', '绩效奖金', '带薪年假', '全勤奖', '节假日加班费', '底薪加提成', '年终奖', '零食下午茶', '意外险', '节日福利', '团建聚餐']","['Power BI', 'Tableau', 'SQL', '数学/统计相关专业']",18.0,25.0,1.0833333333333333,23.291666666666664,3,5,5,本科,数据分析/工程师,"['加班补助', '五险一金', '绩效奖金', '带薪年假', '全勤奖', '节假日加班费', '底薪加提成', '年终奖', '零食下午茶', '意外险', '节日福利', '团建聚餐']","['Power BI', 'Tableau', 'SQL', '数学/统计相关专业']",12,4,0,0,0
高级渗透工程师,11-15K,长沙,芙蓉区,车站北路,5-10年,本科,[],"['Web测试经验', '渗透测试经验', 'Python']",11.0,15.0,1.0,13.0,5,10,5,本科,安全工程师,[],"['Web测试经验', '渗透测试经验', 'Python']",0,3,0,1,0
供应链算法专家,25-40K·13薪,长沙,芙蓉区,马王堆,3-5年,本科,[],"['机器学习', '推荐算法', '运筹优化算法', 'Python', '算法工程化经验', '接受实习/在校生投递', '智能订货', '销量预测']",25.0,40.0,1.0833333333333333,35.20833333333333,3,5,5,本科,AI/算法工程师,[],"['机器学习', '推荐算法', '运筹优化算法', 'Python', '算法工程化经验', '接受实习/在校生投递', '智能订货', '销量预测']",0,8,1,1,0
中高级爬虫开发（广州急招）,18-30K·14薪,长沙,芙蓉区,马王堆,3-5年,本科,"['定期体检', '带薪年假', '补充医疗保险', '年终奖', '通讯补贴', '零食下午茶', '员工旅游', '股票期权', '餐补', '节日福利', '定期团建', '全勤奖', '加班补助', '五险一金']","['爬虫', '反爬', '数据抓取', '数据爬取']",18.0,30.0,1.1666666666666667,28.0,3,5,5,本科,爬虫工程师,"['定期体检', '带薪年假', '补充医疗保险', '年终奖', '通讯补贴', '零食下午茶', '员工旅游', '股票期权', '餐补', '节日福利', '定期团建', '全勤奖', '加班补助', '五险一金']","['爬虫', '反爬', '数据抓取', '数据爬取']",14,4,0,0,0
云网交付工程师,12-15K,长沙,芙蓉区,烈士公园,1-3年,本科,"['包住', '工龄奖', '带薪年假', '节日福利', '餐补', '包吃', '企业年金', '生日福利', '年终奖', '补充医疗保险', '绩效奖金', '高温补贴', '零食下午茶', '五险一金', '节假日加班费', '住房补贴', '团建聚餐', '加班补助', '法定节假日三薪', '定期体检']",['网络维护'],12.0,15.0,1.0,13.5,1,3,5,本科,其他,"['包住', '工龄奖', '带薪年假', '节日福利', '餐补', '包吃', '企业年金', '生日福利', '年终奖', '补充医疗保险', '绩效奖金', '高温补贴', '零食下午茶', '五险一金', '节假日加班费', '住房补贴', '团建聚餐', '加班补助', '法定节假日三薪', '定期体检']",['网络维护'],20,1,0,0,0
测试经理,20-21K,长沙,,,3-5年,本科,"['生日福利', '定期体检', '五险一金', '年终奖', '节日福利', '保底工资', '绩效奖金', '股票期权']","['自动化测试', '渗透测试', '嵌入式测试']",20.0,21.0,1.0,20.5,3,5,5,本科,测试工程师,"['生日福利', '定期体检', '五险一金', '年终奖', '节日福利', '保底工资', '绩效奖金', '股票期权']","['自动化测试', '渗透测试', '嵌入式测试']",8,3,0,0,0
高级渗透测试工程师,10-15K,长沙,芙蓉区,马王堆,3-5年,本科,"['五险一金', '团建聚餐', '股票期权', '带薪年假', '节假日加班费', '零食下午茶', '定期体检', '生日福利', '节日福利', '年终奖', '夜班补助', '通讯补贴', '员工旅游', '加班补助', '交通补助', '法定节假日三薪']","['渗透测试经验', '攻防对抗经验']",10.0,15.0,1.0,12.5,3,5,5,本科,测试工程师,"['五险一金', '团建聚餐', '股票期权', '带薪年假', '节假日加班费', '零食下午茶', '定期体检', '生日福利', '节日福利', '年终奖', '夜班补助', '通讯补贴', '员工旅游', '加班补助', '交通补助', '法定节假日三薪']","['渗透测试经验', '攻防对抗经验']",16,2,0,0,0
大模型算法工程师,30-60K,长沙,,,经验不限,硕士,"['意外险', '节日福利', '通讯补贴', '定期体检', '年终奖', '补充医疗保险', '带薪年假', '交通补助']","['大模型', 'DeepSpeed', 'TensorFlow', 'PyTorch', 'Megatron', 'NLP']",30.0,60.0,1.0,45.0,0,0,6,硕士,AI/算法工程师,"['意外险', '节日福利', '通讯补贴', '定期体检', '年终奖', '补充医疗保险', '带薪年假', '交通补助']","['大模型', 'DeepSpeed', 'TensorFlow', 'PyTorch', 'Megatron', 'NLP']",8,6,1,0,0
测试工程师,5-10K,长沙,芙蓉区,马栏山,1-3年,大专,"['员工旅游', '绩效奖金', '高温补贴', '意外险', '午餐', '股票期权', '团建聚餐', '节日福利', '交通补助', '年终奖', '宿舍有空调', '通讯补贴', '五险一金', '带薪年假']","['功能测试', 'Java', 'Python', 'MySQL', '计算机相关专业', '掌握软件测试理论和流程', '嵌入式测试']",5.0,10.0,1.0,7.5,1,3,4,大专,测试工程师,"['员工旅游', '绩效奖金', '高温补贴', '意外险', '午餐', '股票期权', '团建聚餐', '节日福利', '交通补助', '年终奖', '宿舍有空调', '通讯补贴', '五险一金', '带薪年假']","['功能测试', 'Java', 'Python', 'MySQL', '计算机相关专业', '掌握软件测试理论和流程', '嵌入式测试']",14,7,0,1,0
运维工程师,5-7K,长沙,芙蓉区,韭菜园,1-3年,本科,"['年终奖', '定期体检', '加班补助', '节日福利', '零食下午茶', '员工旅游', '餐补', '带薪年假', '五险一金']",[],5.0,7.0,1.0,6.0,1,3,5,本科,运维工程师,"['年终奖', '定期体检', '加班补助', '节日福利', '零食下午茶', '员工旅游', '餐补', '带薪年假', '五险一金']",[],9,0,0,0,0
教育软件测试经理,12-18K,长沙,芙蓉区,马王堆,5-10年,本科,"['带薪年假', '股票期权', '五险一金', '年终奖', '绩效奖金', '底薪加提成']","['自动化测试', '功能测试', '性能测试', '软件测试']",12.0,18.0,1.0,15.0,5,10,5,本科,测试工程师,"['带薪年假', '股票期权', '五险一金', '年终奖', '绩效奖金', '底薪加提成']","['自动化测试', '功能测试', '性能测试', '软件测试']",6,4,0,0,0
算法应用开发工程师,15-20K,长沙,芙蓉区,朝阳路,3-5年,本科,[],[],15.0,20.0,1.0,17.5,3,5,5,本科,开发工程师,[],[],0,0,1,0,0
软硬件工程师,7-11K,长沙,,,1-3年,大专,"['加班补助', '免费班车', '优秀员工', '交通补助', '通讯补贴', '带薪年假', '工龄工资', '员工旅游', '零食下午茶', '节日福利', '住房补贴', '年终奖', '补充医疗保险', '五险一金']","['嵌入式技术', '单片机开发', '驱动开发', '电路设计', 'PCB设计', 'ARM开发', '器件选型', 'C++']",7.0,11.0,1.0,9.0,1,3,4,大专,其他,"['加班补助', '免费班车', '优秀员工', '交通补助', '通讯补贴', '带薪年假', '工龄工资', '员工旅游', '零食下午茶', '节日福利', '住房补贴', '年终奖', '补充医疗保险', '五险一金']","['嵌入式技术', '单片机开发', '驱动开发', '电路设计', 'PCB设计', 'ARM开发', '器件选型', 'C++']",14,8,0,0,0
上位机软件工程师,10-13K,长沙,芙蓉区,袁家岭,10年以上,大专,[],"['C++', 'C', 'C#', 'QT', 'MFC', 'STL', 'Linux开发/部署经验', '上位机开发经验', '桌面开发经验']",10.0,13.0,1.0,11.5,10,15,4,大专,其他,[],"['C++', 'C', 'C#', 'QT', 'MFC', 'STL', 'Linux开发/部署经验', '上位机开发经验', '桌面开发经验']",0,9,0,0,0
软件售前经理（湖南）,6-11K·15薪,长沙,芙蓉区,韭菜园,3-5年,大专,"['五险一金', '加班补助', '节假日加班费', '法定节假日三薪', '股票期权', '带薪年假']","['售前技术支持经验', '金融信息化项目', '医疗/大健康信息化项目', 'CCIE', '计算机/通信相关专业', '能源信息化项目', 'PMP', 'AWS/Azure/阿里云相关认证', 'CISSP/CISP', 'HCIE', '云服务', '招投标经验', '可适应出差', '其他类型SaaS/PaaS']",6.0,11.0,1.25,10.625,3,5,4,大专,其他,"['五险一金', '加班补助', '节假日加班费', '法定节假日三薪', '股票期权', '带薪年假']","['售前技术支持经验', '金融信息化项目', '医疗/大健康信息化项目', 'CCIE', '计算机/通信相关专业', '能源信息化项目', 'PMP', 'AWS/Azure/阿里云相关认证', 'CISSP/CISP', 'HCIE', '云服务', '招投标经验', '可适应出差', '其他类型SaaS/PaaS']",6,14,0,0,0
软件测试,4-9K,长沙,芙蓉区,韭菜园,1-3年,本科,"['加班补助', '法定节假日三薪', '生日福利', '带薪年假', '免费工装', '绩效奖金', '节日福利', '节假日加班费', '团建聚餐', '有无线网', '团队氛围超好', '底薪加提成', '保底工资', '定期体检', '员工旅游', '零食下午茶', '年终奖']","['自动化测试经验', '接受实习/在校生投递', '性能测试', '压力测试', 'MySQL', '功能测试', '计算机相关专业', '软件开发经验', 'Python']",4.0,9.0,1.0,6.5,1,3,5,本科,测试工程师,"['加班补助', '法定节假日三薪', '生日福利', '带薪年假', '免费工装', '绩效奖金', '节日福利', '节假日加班费', '团建聚餐', '有无线网', '团队氛围超好', '底薪加提成', '保底工资', '定期体检', '员工旅游', '零食下午茶', '年终奖']","['自动化测试经验', '接受实习/在校生投递', '性能测试', '压力测试', 'MySQL', '功能测试', '计算机相关专业', '软件开发经验', 'Python']",17,9,0,1,0
数据统计,3-4K,长沙,芙蓉区,马王堆,1年以内,大专,"['绩效奖金', '有无线网', '带薪年假', '团建聚餐', '交通补助', '员工旅游', '生日福利', '底薪加提成', '零食下午茶', '五险一金', '保底工资', '餐补', '节日福利']",[],3.0,4.0,1.0,3.5,0,1,4,大专,其他,"['绩效奖金', '有无线网', '带薪年假', '团建聚餐', '交通补助', '员工旅游', '生日福利', '底薪加提成', '零食下午茶', '五险一金', '保底工资', '餐补', '节日福利']",[],13,0,0,0,0
java中级开发工程师,13-20K·13薪,长沙,芙蓉区,五一广场,3-5年,本科,['居家办公'],"['接受居家办公', 'Java', 'Golang', 'Python', 'PHP', 'Spring', 'SpringCloud', 'MySQL', 'Redis', '团队管理经验', '可兼职']",13.0,20.0,1.0833333333333333,17.875,3,5,5,本科,开发工程师,['居家办公'],"['接受居家办公', 'Java', 'Golang', 'Python', 'PHP', 'Spring', 'SpringCloud', 'MySQL', 'Redis', '团队管理经验', '可兼职']",1,11,0,1,1
软件开发工程师,10-15K,长沙,芙蓉区,火车站,3-5年,本科,"['绩效奖金', '五险一金']","['C++', 'Java', 'Python', 'C', 'MySQL', 'Linux开发/部署经验']",10.0,15.0,1.0,12.5,3,5,5,本科,开发工程师,"['绩效奖金', '五险一金']","['C++', 'Java', 'Python', 'C', 'MySQL', 'Linux开发/部署经验']",2,6,0,1,0
运维工程师,4-6K,长沙,芙蓉区,五里牌,3-5年,本科,[],"['运维工程师', '系统运维', 'SQL', '项目实施', '计算机软件']",4.0,6.0,1.0,5.0,3,5,5,本科,运维工程师,[],"['运维工程师', '系统运维', 'SQL', '项目实施', '计算机软件']",0,5,0,0,0
爬虫工程师,8-12K·14薪,长沙,芙蓉区,火车站,1-3年,本科,"['节假日加班费', '工龄奖', '带薪年假', '企业年金', '保底工资', '底薪加提成', '定期体检', '五险一金', '通讯补贴', '股票期权', '交通补助', '住房补贴', '年终奖', '节日福利', '餐补', '夜班补助', '补充医疗保险', '绩效奖金', '加班补助']","['爬虫', '数据采集', '大数据', '密码', '计算机']",8.0,12.0,1.1666666666666667,11.666666666666668,1,3,5,本科,爬虫工程师,"['节假日加班费', '工龄奖', '带薪年假', '企业年金', '保底工资', '底薪加提成', '定期体检', '五险一金', '通讯补贴', '股票期权', '交通补助', '住房补贴', '年终奖', '节日福利', '餐补', '夜班补助', '补充医疗保险', '绩效奖金', '加班补助']","['爬虫', '数据采集', '大数据', '密码', '计算机']",19,5,0,0,0
架构师,12-20K,长沙,芙蓉区,张公岭,5-10年,本科,"['五险一金', '节日福利', '餐补']","['Java', '服务器配置', '微服务架构', 'MVC开发', 'MVC', 'Python']",12.0,20.0,1.0,16.0,5,10,5,本科,架构师/技术管理,"['五险一金', '节日福利', '餐补']","['Java', '服务器配置', '微服务架构', 'MVC开发', 'MVC', 'Python']",3,6,0,1,0
智能物联产品开发经理,15-25K,长沙,芙蓉区,汽车东站,经验不限,本科,"['定期体检', '年终奖', '带薪年假', '加班补助', '包吃', '节日福利']",['互联网/AI'],15.0,25.0,1.0,20.0,0,0,5,本科,产品经理,"['定期体检', '年终奖', '带薪年假', '加班补助', '包吃', '节日福利']",['互联网/AI'],6,1,0,0,0
运维主管/专员,6-8K,长沙,芙蓉区,车站北路,1-3年,本科,[],"['运维', '运维开发', 'CDN']",6.0,8.0,1.0,7.0,1,3,5,本科,运维工程师,[],"['运维', '运维开发', 'CDN']",0,3,0,0,0
智能物联产品开发经理,15-25K,长沙,芙蓉区,东屯渡,3-5年,本科,"['带薪年假', '节日福利', '包吃', '五险一金']",[],15.0,25.0,1.0,20.0,3,5,5,本科,产品经理,"['带薪年假', '节日福利', '包吃', '五险一金']",[],4,0,0,0,0
高级Java开发工程师,11-16K·13薪,长沙,芙蓉区,马王堆,5-10年,本科,['五险一金'],"['Java', 'Spring', 'SpringCloud', 'MySQL', 'Oracle', '微服务经验', '分布式经验', '大数据经验']",11.0,16.0,1.0833333333333333,14.624999999999998,5,10,5,本科,开发工程师,['五险一金'],"['Java', 'Spring', 'SpringCloud', 'MySQL', 'Oracle', '微服务经验', '分布式经验', '大数据经验']",1,8,0,0,0
数字化运营经理,14-20K,长沙,芙蓉区,东屯渡,5-10年,本科,"['节日福利', '意外险', '餐补', '补充医疗保险', '员工旅游', '生日福利', '零食下午茶', '定期体检', '带薪年假', '年终奖']","['电商用户运营', '商超运营']",14.0,20.0,1.0,17.0,5,10,5,本科,其他,"['节日福利', '意外险', '餐补', '补充医疗保险', '员工旅游', '生日福利', '零食下午茶', '定期体检', '带薪年假', '年终奖']","['电商用户运营', '商超运营']",10,2,0,0,0
华为云计算团队招人,15-30K·14薪,长沙,芙蓉区,韭菜园,经验不限,本科,"['五险一金', '意外险', '年终奖', '节日福利', '有无线网', '补充医疗保险', '零食下午茶', '夜班补助', '定期体检', '股票期权', '生日福利', '绩效奖金', '节假日加班费', '加班补助', '法定节假日三薪']","['C++', 'C', 'Python', '嵌入式软件经验']",15.0,30.0,1.1666666666666667,26.25,0,0,5,本科,其他,"['五险一金', '意外险', '年终奖', '节日福利', '有无线网', '补充医疗保险', '零食下午茶', '夜班补助', '定期体检', '股票期权', '生日福利', '绩效奖金', '节假日加班费', '加班补助', '法定节假日三薪']","['C++', 'C', 'Python', '嵌入式软件经验']",15,4,0,1,0
AI应用高级架构师,11-18K·13薪,长沙,芙蓉区,马王堆,5-10年,本科,"['五险一金', '定期体检', '补充医疗保险']","['Java', '微服务架构', '分布式技术', '消息队列']",11.0,18.0,1.0833333333333333,15.708333333333332,5,10,5,本科,AI/算法工程师,"['五险一金', '定期体检', '补充医疗保险']","['Java', '微服务架构', '分布式技术', '消息队列']",3,4,1,0,0
AI应用开发工程师（跨境电商方向）-双休,7-10K,长沙,芙蓉区,韭菜园,1-3年,本科,"['全勤奖', '意外险', '绩效奖金', '带薪年假', '年终奖', '节日福利', '补充医疗保险', '员工旅游', '五险一金', '零食下午茶', '定期体检', '生日福利', '团建聚餐']","['大模型算法', 'Python', '算法工程化经验', 'AI', '影刀']",7.0,10.0,1.0,8.5,1,3,5,本科,开发工程师,"['全勤奖', '意外险', '绩效奖金', '带薪年假', '年终奖', '节日福利', '补充医疗保险', '员工旅游', '五险一金', '零食下午茶', '定期体检', '生日福利', '团建聚餐']","['大模型算法', 'Python', '算法工程化经验', 'AI', '影刀']",13,5,1,1,0
统计行业需求分析,4-5K,长沙,芙蓉区,韭菜园,1-3年,本科,"['绩效奖金', '五险一金']","['软件需求分析管理经验', '政府项目经验', '统计学']",4.0,5.0,1.0,4.5,1,3,5,本科,其他,"['绩效奖金', '五险一金']","['软件需求分析管理经验', '政府项目经验', '统计学']",2,3,0,0,0
运维工程师,4-7K,长沙,芙蓉区,马王堆,1-3年,大专,"['底薪加提成', '保底工资']","['Java', 'Python/Shell', 'MySQL/Oracle', '计算机相关专业', '运维开发经验', '大数据运维经验']",4.0,7.0,1.0,5.5,1,3,4,大专,运维工程师,"['底薪加提成', '保底工资']","['Java', 'Python/Shell', 'MySQL/Oracle', '计算机相关专业', '运维开发经验', '大数据运维经验']",2,6,0,1,0
新零售运营负责人,18-20K,长沙,芙蓉区,五一广场,5-10年,本科,"['节日福利', '带薪年假', '团建聚餐', '加班补助', '生日福利', '包吃', '员工旅游', '有无线网', '五险一金']","['运营管理', '团队管理', '门店运营', '电商运营', '直播平台', 'B2C国内电商', '社群运营', '直播运营']",18.0,20.0,1.0,19.0,5,10,5,本科,其他,"['节日福利', '带薪年假', '团建聚餐', '加班补助', '生日福利', '包吃', '员工旅游', '有无线网', '五险一金']","['运营管理', '团队管理', '门店运营', '电商运营', '直播平台', 'B2C国内电商', '社群运营', '直播运营']",9,8,0,0,0
AI产品研发总监,13-26K·13薪,长沙,芙蓉区,马王堆,5-10年,本科,[],['互联网/AI'],13.0,26.0,1.0833333333333333,21.125,5,10,5,本科,AI/算法工程师,[],['互联网/AI'],0,1,1,0,0
全栈工程师,7-10K,长沙,芙蓉区,火车站,1-3年,本科,['社保'],"['TypeScript', 'Golang', 'C/C++', 'Spring/Spring Boot', 'JavaScript', 'Vue', 'Go', 'MySQL/Redis/MongoDB', 'React', 'Python', '全栈项目经验']",7.0,10.0,1.0,8.5,1,3,5,本科,开发工程师,['社保'],"['TypeScript', 'Golang', 'C/C++', 'Spring/Spring Boot', 'JavaScript', 'Vue', 'Go', 'MySQL/Redis/MongoDB', 'React', 'Python', '全栈项目经验']",1,11,0,1,0
Python初级开发工程师,4-7K,长沙,芙蓉区,马王堆,经验不限,大专,"['年终奖', '带薪年假', '工龄奖', '节日福利', '团建聚餐', '全勤奖']","['SQL', 'Python开发']",4.0,7.0,1.0,5.5,0,0,4,大专,开发工程师,"['年终奖', '带薪年假', '工龄奖', '节日福利', '团建聚餐', '全勤奖']","['SQL', 'Python开发']",6,2,0,1,0
软件测试资深专家,16-22K·15薪,长沙,芙蓉区,马王堆,10年以上,本科,[],[],16.0,22.0,1.25,23.75,10,15,5,本科,测试工程师,[],[],0,0,0,0,0
数据分析师,8-10K,长沙,芙蓉区,五一广场,1-3年,本科,"['带薪年假', '交通补助', '零食下午茶', '节日福利', '年终奖', '五险一金']",[],8.0,10.0,1.0,9.0,1,3,5,本科,数据分析/工程师,"['带薪年假', '交通补助', '零食下午茶', '节日福利', '年终奖', '五险一金']",[],6,0,0,0,0
高级自动化测试工程师,13-20K,长沙,芙蓉区,五一广场,5-10年,大专,"['有无线网', '节日福利', '保底工资', '团建聚餐', '底薪加提成', '生日福利', '零食下午茶', '免费工装', '五险一金', '全勤奖']","['Python', 'Selenium', '计算机相关专业', '自动化测试经验', '软件开发经验', '测试工作经验']",13.0,20.0,1.0,16.5,5,10,4,大专,测试工程师,"['有无线网', '节日福利', '保底工资', '团建聚餐', '底薪加提成', '生日福利', '零食下午茶', '免费工装', '五险一金', '全勤奖']","['Python', 'Selenium', '计算机相关专业', '自动化测试经验', '软件开发经验', '测试工作经验']",10,6,0,1,0
量化策略研究员,10-15K,长沙,芙蓉区,定王台,经验不限,硕士,"['团建聚餐', '全勤奖', '年终奖', '五险一金', '定期体检', '生日福利', '节日福利', '员工旅游', '零食下午茶', '包吃', '带薪年假', '工龄奖', '餐补']","['量化', '量化策略']",10.0,15.0,1.0,12.5,0,0,6,硕士,其他,"['团建聚餐', '全勤奖', '年终奖', '五险一金', '定期体检', '生日福利', '节日福利', '员工旅游', '零食下午茶', '包吃', '带薪年假', '工龄奖', '餐补']","['量化', '量化策略']",13,2,0,0,0
Python工程师,5-8K,长沙,芙蓉区,马王堆,1-3年,本科,"['五险一金', '20天长假']","['Django', 'MySQL', 'Linux开发/部署经验', 'Python']",5.0,8.0,1.0,6.5,1,3,5,本科,开发工程师,"['五险一金', '20天长假']","['Django', 'MySQL', 'Linux开发/部署经验', 'Python']",2,4,0,1,0
JAVA开发工程师,10-15K·13薪,长沙,芙蓉区,火车站,3-5年,本科,"['定期体检', '通讯补贴', '交通补助', '绩效奖金', '有无线网', '保底工资', '五险一金', '工龄奖', '年终奖', '加班补助', '节日福利', '生日福利', '带薪年假', '餐补', '全勤奖']","['Java', 'Docker', 'SpringCloud', 'MySQL', 'VUE', '前端', 'MyBatis', 'Redis', '全栈', 'SQL Server', 'Oracle']",10.0,15.0,1.0833333333333333,13.541666666666666,3,5,5,本科,开发工程师,"['定期体检', '通讯补贴', '交通补助', '绩效奖金', '有无线网', '保底工资', '五险一金', '工龄奖', '年终奖', '加班补助', '节日福利', '生日福利', '带薪年假', '餐补', '全勤奖']","['Java', 'Docker', 'SpringCloud', 'MySQL', 'VUE', '前端', 'MyBatis', 'Redis', '全栈', 'SQL Server', 'Oracle']",15,11,0,0,0
php工程师,6-8K,长沙,芙蓉区,马王堆,5-10年,本科,"['生日福利', '节日福利', '包吃', '员工旅游']","['PHP', 'Python']",6.0,8.0,1.0,7.0,5,10,5,本科,开发工程师,"['生日福利', '节日福利', '包吃', '员工旅游']","['PHP', 'Python']",4,2,0,1,0
全栈开发工程师（前端偏react）,10-15K,长沙,芙蓉区,韭菜园,3-5年,本科,"['意外险', '有无线网', '员工旅游', '团建聚餐', '绩效奖金', '保底工资', '底薪加提成', '带薪年假', '节日福利', '五险一金']","['Java', 'React', '计算机/软件工程相关专业', '前端开发经验', 'Python']",10.0,15.0,1.0,12.5,3,5,5,本科,开发工程师,"['意外险', '有无线网', '员工旅游', '团建聚餐', '绩效奖金', '保底工资', '底薪加提成', '带薪年假', '节日福利', '五险一金']","['Java', 'React', '计算机/软件工程相关专业', '前端开发经验', 'Python']",10,5,0,1,0
python开发工程师,6-8K,长沙,芙蓉区,朝阳路,1-3年,本科,[],"['Python', 'Django', '其他', 'MySQL', 'PostgreSQL']",6.0,8.0,1.0,7.0,1,3,5,本科,开发工程师,[],"['Python', 'Django', '其他', 'MySQL', 'PostgreSQL']",0,5,0,1,0
资深后端开发工程师,12-13K,长沙,芙蓉区,五一广场,1-3年,本科,"['全勤奖', '五险一金']","['Python', 'Numpy', 'PyTorch', 'MySQL', '后端开发', '区块链', '元宇宙']",12.0,13.0,1.0,12.5,1,3,5,本科,开发工程师,"['全勤奖', '五险一金']","['Python', 'Numpy', 'PyTorch', 'MySQL', '后端开发', '区块链', '元宇宙']",2,7,0,1,0
大模型应用开发工程师,25-50K·15薪,长沙,芙蓉区,马王堆,3-5年,硕士,"['生日福利', '加班补助', '节日福利', '补充医疗保险', '免费班车', '通讯补贴', '团建聚餐', '年终奖', '五险一金', '底薪加提成', '餐补', '零食下午茶', '带薪年假']","['PyTorch', 'MySQL', '机器学习经验', 'Python', 'TensorFlow']",25.0,50.0,1.25,46.875,3,5,6,硕士,开发工程师,"['生日福利', '加班补助', '节日福利', '补充医疗保险', '免费班车', '通讯补贴', '团建聚餐', '年终奖', '五险一金', '底薪加提成', '餐补', '零食下午茶', '带薪年假']","['PyTorch', 'MySQL', '机器学习经验', 'Python', 'TensorFlow']",13,5,1,1,0
少儿编程老师,5-8K,长沙,芙蓉区,朝阳路,1-3年,大专,[],"['竞赛', '白名单', 'Python', '机器人', '图形化编程', '小学教资', 'Arduino编程', '相关从业资格证']",5.0,8.0,1.0,6.5,1,3,4,大专,教育培训,[],"['竞赛', '白名单', 'Python', '机器人', '图形化编程', '小学教资', 'Arduino编程', '相关从业资格证']",0,8,0,1,0
软件测试工程师（德科OD）,15-30K,长沙,,,经验不限,本科,"['零食下午茶', '交通补助', '企业年金', '团建聚餐', '法定节假日三薪', '保底工资', '夜班补助', '五险一金', '加班补助', '节假日加班费', '股票期权', '节日福利', '带薪年假', '意外险', '绩效奖金', '免费班车', '定期体检', '年终奖', '补充医疗保险', '员工旅游']",['计算机相关专业'],15.0,30.0,1.0,22.5,0,0,5,本科,测试工程师,"['零食下午茶', '交通补助', '企业年金', '团建聚餐', '法定节假日三薪', '保底工资', '夜班补助', '五险一金', '加班补助', '节假日加班费', '股票期权', '节日福利', '带薪年假', '意外险', '绩效奖金', '免费班车', '定期体检', '年终奖', '补充医疗保险', '员工旅游']",['计算机相关专业'],20,1,0,0,0
资深后端开发工程师-广告归因系统,12-18K,长沙,芙蓉区,韭菜园,5-10年,大专,"['节日福利', '团建聚餐', '五险一金', '交通补助', '带薪年假', '生日福利', '员工旅游', '零食下午茶', '年终奖']","['Java', 'Python', 'Golang', 'SpringCloud', 'Dubbo', 'Spark', 'MySQL', '搜索/推荐/广告经验']",12.0,18.0,1.0,15.0,5,10,4,大专,开发工程师,"['节日福利', '团建聚餐', '五险一金', '交通补助', '带薪年假', '生日福利', '员工旅游', '零食下午茶', '年终奖']","['Java', 'Python', 'Golang', 'SpringCloud', 'Dubbo', 'Spark', 'MySQL', '搜索/推荐/广告经验']",9,8,0,1,0
中级测试工程师,6-8K,长沙,芙蓉区,东屯渡,3-5年,大专,"['定期体检', '年终奖', '高温补贴', '零食下午茶', '交通补贴', '节日福利', '餐饮补贴', '餐补', '五险一金', '带薪年假', '团建聚餐', '员工旅游', '交通补助']",[],6.0,8.0,1.0,7.0,3,5,4,大专,测试工程师,"['定期体检', '年终奖', '高温补贴', '零食下午茶', '交通补贴', '节日福利', '餐饮补贴', '餐补', '五险一金', '带薪年假', '团建聚餐', '员工旅游', '交通补助']",[],13,0,0,0,0
软件测试-大数据方向,20-25K,长沙,,,3-5年,本科,[],"['Java', '计算机相关专业', '软件开发经验', '自动化测试经验']",20.0,25.0,1.0,22.5,3,5,5,本科,数据分析/工程师,[],"['Java', '计算机相关专业', '软件开发经验', '自动化测试经验']",0,4,0,0,0
